# Samples: 816
#
# Overhead      Command        Shared Object  Symbol
# ........  ...........  ...................  ......
#
     0.25%          bm1  ./benchmarks/bm1     [.] std::allocator<std::pair<int const, long long> >::allocator<__gnu_cxx::_Hashtable_node<std::pair<int const, long long> > >(std::allocator<__gnu_cxx::_Hashtable_node<std::pair<int const, long long> > > const&)
     0.12%          bm1  [kernel]             [k] try_to_wake_up
     0.12%          bm1  [kernel]             [k] free_pages_check
     0.12%          bm1  [kernel]             [k] release_pages
     0.12%          bm1  [kernel]             [k] unmap_vmas
     0.12%          bm1  ./benchmarks/bm1     [.] testC11um()
     0.12%          bm1  ./benchmarks/bm1     [.] testGccExtHm()
     0.12%          bm1  ./benchmarks/bm1     [.] __gnu_cxx::hash_map<int, long long, __gnu_cxx::hash<int>, std::equal_to<int>, std::allocator<long long> >::operator[](int const&)
     0.12%          bm1  ./benchmarks/bm1     [.] __gnu_cxx::hashtable<std::pair<int const, long long>, int, __gnu_cxx::hash<int>, std::_Select1st<std::pair<int const, long long> >, std::equal_to<int>, std::allocator<long long> >::clear()
     0.12%          bm1  ./benchmarks/bm1     [.] std::_Select1st<std::pair<unsigned long long const, unsigned long long> >::operator()(std::pair<unsigned long long const, unsigned long long> const&) const
     0.12%          bm1  ./benchmarks/bm1     [.] std::tr1::_Hashtable<unsigned long long, std::pair<unsigned long long const, unsigned long long>, std::allocator<std::pair<unsigned long long const, unsigned long long> >, std::_Select1st<std::pair<unsigned long long const, unsigned long long> >, std::equal_to<unsigned long long>, std::tr1::hash<unsigned long long>, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true>::_M_deallocate_node(std::tr1::__detail::_Hash_node<std::pair<unsigned long long const, unsigned long long>, false>*)
     0.12%          bm1  ./benchmarks/bm1     [.] std::vector<__gnu_cxx::_Hashtable_node<std::pair<int const, long long> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<int const, long long> >*> >::operator[](unsigned long)
     0.12%          bm1  ./benchmarks/bm1     [.] std::_Select1st<std::pair<int const, long long> >::operator()(std::pair<int const, long long> const&) const
     0.12%          bm1  ./benchmarks/bm1     [.] __gnu_cxx::hashtable<std::pair<int const, long long>, int, __gnu_cxx::hash<int>, std::_Select1st<std::pair<int const, long long> >, std::equal_to<int>, std::allocator<long long> >::get_allocator() const
     0.12%          bm1  ./benchmarks/bm1     [.] std::allocator<std::pair<unsigned long long const, unsigned long long> >::allocator<std::tr1::__detail::_Hash_node<std::pair<unsigned long long const, unsigned long long>, false> >(std::allocator<std::tr1::__detail::_Hash_node<std::pair<unsigned long long const, unsigned long long>, false> > const&)
#
# (For a higher level overview, try: perf report --sort comm,dso)
#

